NAME,LGFE,LE,SITE_NR,POCKET_NR,POSE
3,-2.593,-0.5186,2,,./report/pdb_by_site/site_all_2_3_3.sdf
3,-2.584,-0.5168,19,,./report/pdb_by_site/site_all_19_3_1.sdf
3,-2.58,-0.516,3,,./report/pdb_by_site/site_all_3_3_3.sdf
3,-2.575,-0.515,2,,./report/pdb_by_site/site_all_2_3_4.sdf
3,-2.574,-0.5147999999999999,20,,./report/pdb_by_site/site_all_20_3_2.sdf
3,-2.5500000000000003,-0.51,25,,./report/pdb_by_site/site_all_25_3_1.sdf
3,-2.55,-0.51,3,,./report/pdb_by_site/site_all_3_3_4.sdf
3,-2.4400000000000004,-0.4880000000000001,44,,./report/pdb_by_site/site_all_44_3_1.sdf
3,-2.431,-0.4862,9,,./report/pdb_by_site/site_all_9_3_2.sdf
3,-2.41,-0.48200000000000004,30,,./report/pdb_by_site/site_all_30_3_1.sdf
3,-2.38,-0.476,57,,./report/pdb_by_site/site_all_57_3_1.sdf
3,-2.36,-0.472,10,,./report/pdb_by_site/site_all_10_3_4.sdf
3,-2.328,-0.46559999999999996,17,,./report/pdb_by_site/site_all_17_3_2.sdf
3,-2.25,-0.45,30,,./report/pdb_by_site/site_all_30_3_2.sdf
3,-2.24,-0.44800000000000006,5,,./report/pdb_by_site/site_all_5_3_4.sdf
3,-2.2199999999999998,-0.44399999999999995,36,,./report/pdb_by_site/site_all_36_3_1.sdf
3,-2.2,-0.44000000000000006,30,,./report/pdb_by_site/site_all_30_3_3.sdf
3,-2.1799999999999997,-0.43599999999999994,2,,./report/pdb_by_site/site_all_2_3_5.sdf
3,-2.1650000000000005,-0.4330000000000001,53,,./report/pdb_by_site/site_all_53_3_1.sdf
